TransactionAmount,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,TransactionType_Debit,Channel_Branch,Channel_Online,Cluster,FraudLabel
0.015316801966929883,70,0,0.24482758620689654,0.0,0.33683185966818,True,False,False,0,0
0.41639994240971057,68,0,0.45172413793103444,0.0,0.9180546275595326,True,False,False,0,0
0.13957892638410507,19,3,0.1586206896551724,0.0,0.06863734931174438,True,False,True,1,0
0.2040468253352973,26,3,0.05172413793103449,0.0,0.569197956003802,True,False,True,1,0
0.014607998405191985,26,3,0.6482758620689656,0.0,0.4925911187531677,False,False,True,1,0
0.10176868638764909,18,3,0.5586206896551724,0.0,0.045737843102722775,True,False,False,1,0
0.007553187954769473,37,0,0.44482758620689655,0.0,0.8883303734554748,False,False,False,2,1
0.189560652542279,67,2,0.9689655172413792,0.0,0.18115460779713835,False,True,False,0,0
0.11736236474588284,51,1,0.26206896551724135,0.0,0.6045605421617909,False,True,False,3,0
0.903392289546255,55,0,0.3793103448275862,0.0,0.06188385358620237,True,False,False,3,0
0.01940349750257495,52,1,0.16896551724137931,0.0,0.5040264197666963,False,False,True,3,0
0.21016025605528668,21,3,0.5620689655172414,0.0,0.09595919536134934,True,False,True,1,0
0.5473957006633957,24,3,0.3482758620689655,0.0,0.10209024288923516,False,True,False,1,0
0.865515599215886,26,3,0.3896551724137931,0.0,0.005944850820811549,True,False,False,1,0
0.1846544028883745,18,3,0.4275862068965517,0.0,0.013355076448200345,True,False,True,1,0
0.5152005138825821,36,1,0.4103448275862069,0.0,0.22614430312017286,True,False,False,2,1
0.6152636416997994,19,3,0.5103448275862069,0.0,0.06923627084966197,False,True,False,1,0
0.5456347668147031,39,1,0.7724137931034483,0.0,0.3366812890458528,True,False,True,2,1
0.020400252511268865,59,2,0.3310344827586207,0.0,0.5274757776233234,False,True,False,3,0
0.07887654635464543,18,3,0.5482758620689655,0.0,0.4347283074114356,False,False,True,1,0
0.06540927868162537,71,2,0.09655172413793102,0.0,0.3797633083592239,True,True,False,0,0
0.09470280088157441,38,0,0.2862068965517241,0.0,0.607992073532239,True,True,False,2,1
0.057523839057291255,39,1,0.3793103448275862,0.0,0.5964801428269905,True,False,True,2,1
0.16089840851450277,21,3,0.296551724137931,0.0,0.12299132740103008,True,False,True,1,0
0.008007265236507813,65,2,0.9172413793103449,0.0,0.23751305729615496,False,False,True,0,0
0.04436667294253153,37,1,0.29310344827586204,0.0,0.1737793360642184,True,True,False,2,1
0.14086363283975503,44,0,0.6448275862068966,0.0,0.11231022387969408,True,False,True,2,1
0.061920636151196654,27,3,0.9413793103448276,0.0,0.08405336115304833,True,True,False,1,0
0.031065531104293796,59,0,0.034482758620689655,0.0,0.5534290442664186,False,False,True,3,0
0.06518777756858227,29,0,0.8517241379310345,0.0,0.6535296039320443,True,False,False,1,0
0.9718915087548313,22,3,0.4827586206896552,0.0,0.020014465534787865,True,False,True,1,0
0.28241391912994357,45,0,0.13793103448275862,0.0,0.9891024512090688,False,True,False,2,1
0.1378844428693254,49,1,0.1206896551724138,0.0,0.3806929475140387,True,True,False,3,0
0.08624145836332826,26,3,0.46551724137931033,0.0,0.05373220208190774,True,True,False,1,0
0.7187932619361411,75,2,0.4379310344827586,0.0,0.3209446424418253,True,False,False,0,0
0.3714241414063105,55,2,0.7103448275862069,0.0,0.061716478206919,True,False,True,3,0
0.3634944015593678,63,2,0.3758620689655172,0.0,0.28382629527705666,True,False,False,0,0
0.037389387881674105,38,0,0.031034482758620682,0.0,0.9486776000656059,True,False,True,2,1
0.26708604210736153,57,0,0.36551724137931035,0.0,0.8910399724670863,False,False,True,3,0
0.06097925642076351,19,3,0.36896551724137927,0.0,0.009446962170475522,True,False,False,1,0
0.33673706710376217,27,3,0.07931034482758621,0.0,0.05158119319151912,True,True,False,1,0
0.4817759959243794,74,2,0.27586206896551724,0.0,0.3073274117851088,True,True,False,0,0
0.18188563897533586,26,3,0.22413793103448276,0.0,0.09464573555765579,True,True,False,1,0
0.5648056881485829,19,3,0.3275862068965517,0.0,0.04573918748327928,True,False,True,1,0
0.694007287386619,26,3,0.4413793103448276,0.0,0.011041397510476086,True,False,True,1,0
0.024088246043436366,41,1,0.5689655172413793,0.0,0.08293752529115922,False,False,True,2,1
0.4707784656617899,69,2,0.38275862068965516,0.0,0.2558551134186656,False,False,True,0,0
